Tough, athletic, strong, muscles
Thin, weak, defenseless, small
Tall, large, gigantic, fat, slow
Exotic, different, distinct, weird
Hurt, injured, dying, weakened
Sick, debilitated, poisoned
Crippled, slow, trapped
Agile, flexible, fast, sneaky
Scared, afraid, pinned down
Hesitant, insecure, nervous
Angry, infuriated, enraged
Happy, cheerful, easy going
Sad, crying, desperate
Crazy, weird eyes, mad
Lost, confused, unsure
Paranoid, altered, exalted
Anxious, restless, unsettled
Intimidating, bully, bad guy
Relaxed, chill, enjoying
Drunk, on drugs, possessed
