Presents a problem that someone else is having
A change in the location interrupts the characters
Suddenly puts characters in danger, tension or risk
Last action or decision was a bad idea because,
Concludes with an issue that can't be solved now
Concludes with an issue that can't be solved now
Concludes with an issue that can't be solved now
Concludes with an issue that can't be solved now
Concludes with an issue that can't be solved now
Concludes with an issue that can't be solved now
Concludes with an issue that can't be solved now
Concludes with an issue that can't be solved now
Concludes with an issue that can't be solved now
Concludes with an issue that can't be solved now
Concludes with an issue that can't be solved now
Concludes with an issue that can't be solved now
Concludes with an issue that can't be solved now
Concludes with an issue that can't be solved now
Concludes with an issue that can't be solved now
Concludes with an issue that can't be solved now
