Immediately leaves and avoids any engagement
Looks at you disrespectfully or in a rude manner
Approaches in a taunting manner, with strength
Draws weapons, stands ready to fight
Assaults verbally or physically, non-lethally
Assaults verbally or physically, non-lethally
Assaults verbally or physically, non-lethally
Assaults verbally or physically, non-lethally
Assaults verbally or physically, non-lethally
Assaults verbally or physically, non-lethally
Assaults verbally or physically, non-lethally
Assaults verbally or physically, non-lethally
Assaults verbally or physically, non-lethally
Assaults verbally or physically, non-lethally
Assaults verbally or physically, non-lethally
Assaults verbally or physically, non-lethally
Assaults verbally or physically, non-lethally
Assaults verbally or physically, non-lethally
Assaults verbally or physically, non-lethally
Assaults verbally or physically, non-lethally
